query,tab,tweet
MBG,top,"MBG ini sebenarnya alat kampanye wowo 
@prabowo
 yg dibiayai rakyat untuk pilpres 2029 nanti, makanya dia muliakan para pegawai MBG agar 2029 mereka dan keluarga besarnya ngasih suara untuk wowo! 
Bangsat emang !!"
MBG,top,"Bangsa Indonesia berduka atas gugurnya tiga prajurit TNI dalam tugas mulia sebagai pasukan perdamaian PBB di Lebanon.

Kami, saudara-saudara sebangsa dan se-Tanah Air, mengecam keras setiap tindakan keji yang merusak perdamaian dan menyebabkan gugurnya para prajurit terbaik"
MBG,top,"Kasus dugaan keracunan makanan program Makan Bergizi Gratis (MBG) terjadi di Kecamatan Tegalombo, Pacitan, Jawa Timur.

Puluhan siswa dari tingkat TK, SD, hingga SMP mengalami gejala seperti mual, muntah, pusing, dan lemas setelah mengonsumsi makanan di sekolah. Sebanyak 17 siswa"
MBG,top,"Pemandangan memprihatinkan ditemukan dalam pelaksanaan program Makan Bergizi Gratis (MBG) di Kecamatan Rawajitu Selatan (8/4/2026). 
Banyak makanan yang justru terbuang, bahkan tidak disentuh oleh siswa.

Hal ini terungkap dalam temuan Wakil Bupati Tulang Bawang, Hankam Hasan,"
MBG,top,"-Anggaran 1 porsi MBG: 10rb (sad food)
-Harga chicken steak Superindo selisih 5 ribu dari MBG udah dapat makanan yg sangat layak untuk manusia"
MBG,top,"Bapak guru ini lebih cocok dapat motor ketimbang dapur MBG yang dapat motor.

Kami lebih Ridho, MBG di tutup dan di alihkan ke guru guru terpencil dan fasilitas pendidikan

“Tak punya kendaraan, tapi punya tujuan: mencerdaskan kehidupan. Anak anak bangsa”"
MBG,top,"Beredar video dengan narasi sok yg tahu yang mengatakan mobil pengantar MBG menabrak seorang balita.

Faktanya balita tersebut bukan tertabrak MELAINKAN SEDANG BERMAIN di bawah mobil pengantar MBG yang sedang parkir.

Orang tua yang lalai mengawasi anaknya namun lagi-lagi mobil"
MBG,top,"Setiap kali bege'en meminta maaf atas kelalaian-kelalaiannya, kualitas SDM Indonesia mundur 10 langkah."
MBG,top,"Ini baru MBG 

Beda jauuuuuuuuhhhhhh ... cyn dengan yg ada di Konoha.

Di China bahkan ortu pun bisa ikut memantau kegiatan memasak di dapur MBG lewat cctv yg terkoneksi ke hp mereka.

Bahkan kepsek pun wajib mencicipi dulu menu makanan yg akan di hidangkan untuk siswa.
Tidak"
MBG,top,"Lagi dan lagi, Apa tidak sayang dibuang buang gini.
Pemandangan memprihatinkan ditemukan dalam pelaksanaan program Makan Bergizi Gratis (MBG) di Kecamatan Rawajitu Selatan.
panas sekali"
MBG,top,"Pernyataan sikap kami sejak 2 bulan lalu sama sekali belum berubah. Kami mendesak agar 
@muhammadiyah
 segera memecat kadernya ini. Ia tak hanya tak becus menjadi menteri, tetapi juga turut mengorkestrasi bobroknya mutu pendidikan di Indonesia.

Hal tersebut jelas tak sejalan"
MBG,top,"MBG sejalan dengan kebijakan Anda yang mana?

Abdul Mu'ti: ""MBG bagian dari program Tujuh Kebiasaan Anak Indonesia Hebat. Poin keempatnya adalah makan sehat dan bergizi. MBG juga bagian dari penanaman pendidikan karakter dengan makanan sebagai medianya.""

Apa dampak MBG terhadap"
MBG,top,"Lalu adik ku memukul pelaku dengan tempat makan MBG, agar pelaku berhenti menyerang adik ku. Ternyata pukulan adik ku mengenai dahi pelaku yg menyebabkan berdarah.￼"
MBG,top,"Guys, dengerin nih
OJK baru aja ngumumin kredit ratusan triliun mengalir ke program Presiden Prabowo
-Makan Bergizi Gratis (MBG), 
-Koperasi Desa/Kelurahan Merah Putih, 
-dan pembangunan 3 juta rumah. 

Tapikan sebelumnya mereka bilang semua dananya untuk itu udah ada dan itu"
MBG,top,"INI SAMA DENGAN 120 HARI MBG DOANG YAALLAH TOLONG DENGAR DOA RAKYAT INDONESIA… BERHENTIKAN MBG BERHENTIKAN MBG BERHENTIKAN MBG 99x  GW BENCI BANGET MBG, PROGRAM GAK FAEDAH YG PALING BIKIN GW MURKA"
MBG,top,"Masih di Indonesia 
Baik2 saja  

Plat nomernya sih Prov Riau.. tapi ga tau tepatnya di mana
Yg jelas beginilah kenyataannya 

Guru & murid nasibnya sama
Solusinya MBG?
Itu motor buat pegawai MBG, lbh layak diberikan pd Guru2 di pelosok (klo perbaiki jalan aja ga sanggup)"
MBG,top,"When Makanan sisa MBG yang tak dikonsumsi dikemas ulang dalam bungkus kertas coklat oleh siswa dan dilanjutkan dengan giat pengabdian masyarakat untuk diberikan kepada yang lebih membutuhkan.

Nih BGN dibantu agar MBG tepat sasaran.

©panjerraino in threads"
MBG,top,Ibu ini kecewa dg menu MBG utk anaknya yg PAUD
MBG,top,"Suruh makan anaknya Prabowo
Suruh makan anaknya Gibran
Suruh makan cucu2nya Jokowi
Jgn kasih ke rakyat !!

Itulah ungkapan kekecewaan seorang ibu yg menerima MBG utk anaknya yg PAUD Krn memang tdk sesuai dg standart kelayakan.

-------
Aozora Kataomoi Christy Reza"
MBG,top,"Demi keluarganya bisa makan
Yg seperti ini tdk mendapatkan MBG"
MBG,top,"Seorang anak balita terlind4s mobil MBG

Sebuah kecel4kaan tunggal terjadi di Desa Dukuhjati, Blok Margunah, Kec. Krangkeng, Indramayu Jum'at 10.04.26 pukul 10.00 WIB.

Hingga saat ini kami belum mengetahui secara pasti kronologi maupun identitas lengkap korban."
MBG,top,"Harus dateng ke superindo hari apa & jam brp sih biar bisa dapet makanan begini ges?

MBG kenapa kagak beli dari superindo aja yakk
gausah pusing2 buat sppg atau apalah itu 

Superindo : 1
MBG : 0"
MBG,top,"Kasih makan MBG seumur hidup aja kak. 
Dari sppg yg pernah bikin kasus keracunan makanan."
MBG,top,"Temuan mengejutkan terjadi dalam program Makan Bergizi Gratis (MBG) di SDN Cisarandi 1, Cianjur, pada Selasa, 7 April 2026. Sejumlah siswa dilaporkan enggan makan setelah ditemukan belatung dalam menu makanan yang dibagikan di sekolah.

Menurut guru SDN Cisarandi 1, Didan,"
MBG,top,Seorang ibu meluapkan kekecewaannya atas menu MBG yg diterima anaknya yg PAUD
MBG,top,"Programnya yg katanya bagus, tujuannya mulia. Tapi tanpa pengelolaan yg tepat, risikonya besar. makanan terbuang, anggaran tergerus.
Pertanyaannya, gimana caranya biar bantuan tetap tepat sasaran tanpa jadi pemborosan? 
Potensi Pemborosan Program MBG Capai Rp 14 Triliun per"
MBG,top,"Hadeww....
Udah sih kata gw mah yak stop itu embegeh , kasih uang ke ortu murid pasti akan lebih baik dan di sukai anak2 menunya.
Udah gitu jadi gda celah buat di korup

Setuju ga bolo ? 

Rapatkan komen jika setuju"
MBG,top,"Nggak masuk akal, anak kelas 2 SD harus hidup sebatang kara di rumah sepi...  Bayangin Aliya (8th), yatim yang ditinggal ibunya entah ke mana. 
Nenek yang selama ini ngerawat juga udah meninggal. 
Sekarang dia bener-bener sendirian. 
Buat makan, dia harus masuk semak-semak cari"
MBG,top,"Anjay, dana riset se-Indonesia raya cuma 2 hari MBG."
MBG,top,"Sebuah ironi dimana anggaran pendidikan dimainkan untuk syahwat project MBG, padahal banyak cara lain atasi stunting.

Sementara sektor krusial sektor pendidikan menjadi anak tiri dengan anggaran memprihatinkan.

Bukti rezim tak peduli dengan masa depan dan kualitas pendidikan"
MBG,top,"Ada yg nyeletuk katanya Siswa hadir karna MBG 

Plis atuh Stop ni program
Allah Tuhan Yg Maha Kuasa bakalan Murka klo terus buang² makanan kaya gini."
MBG,top,"Kesimpulan yang belakangan ini buat gue ga nyaman: udah ga mungkin siapapun presidennya 2029 buat undo MBG dan Koperasi Merah Putih. 

Ini beda sama IKN dimana pemerintah bisa pura-pura ga punya object permanance. Ini udah makan nyaris 50% APBN tahun ini, high visibility lagi."
MBG,top,"Jelek-jeleknya Indonesia, bencana, keracunan MBG, gaji guru minim, dll, 
@prabowo
 @Gerindra
 @gibran_tweet
 ga akan tau orang dihalangi sama Buna Teddy yang laporan nya selalu yang baik-baik nya aja ya kan? sama ditipu-tipu aja dikit, si gendut juga percaya."
MBG,top,"MENURUT INFO BANYAK SISWA YG TIDAK MAU MAKAN MBG .... KARENA BANYAK HAL .... 

AKHIRNYA MBG HANYA DIBUANG DI TEMPAT SAMPAH ....

ITULAH YG DINAMAKAN : PEMBOROSAN, BUANG2 ANGGARAN, BANYAK PENYIMPANGAN ANGGARAN DAN LAPORAN PROGRAM TIDAK SESUAI FAKTA."
MBG,top,"Tu pk wowo.bljarlah dari anak buah mu..klo mau tau kenyataan di lapangan..presiden sering2 sidak juga dong...

Tu sidak doang apa ada tindak lanjut bu nanik??

APA ARTINYA BU NANIK
DIBANDINGKAN KEPALA MBG-NYA???"
MBG,top,"Saat Prabowo Pamer Uang Sitaan 11,4 triliun hanya untuk menutupi kecolongan dan kebocoran anggaran MBG untuk motor listrik dan hal yang tidak ada hubungannya dengan penyediaan makan Bergizi Gratis.."
MBG,top,"Kemarin aku liat di komen, kepala sekolahnya nyuruh kepala sppgnya makan mbg di sekolah itu dan harus dimakan saat itu juga.. akhirnya ga ada deh makanan yg 'dinakali' sama dapurnya"
MBG,top,"MBG boleh berhenti aja ga sih?? kami butuh pendidikan gratis, sender udah apply banyak beasiswa dan loker, susah banget ditambah lagi ikut lomba penelitian, kepala rasanya mau pecah"
MBG,top,"Hidup jangan menghujat

Ide kreatif, berinisiatif buka lapak makanan dg nama MBG (Mantap Banget Gila) ala tebet

Begitu buka mengundang pemasaran yg lewat, laris makin laris

Banyak umkm titip jualan

Di sosmed diingatkan, hati2  didatangi aparat

Ternyata benar tapi beli"
MBG,top,"Mubazir...
Uang rakyat dihambur²kan  sia², kalau sudah begini mau salahkan siapa.
Anak² ada perasaan takut, bosan dan trauma melihat begitu masive keracunan dimana².
Anak² tdk suka, pembayar pajak tdk rela krn yg suka dan gembira hanya mrk yg ada di MBG."
MBG,top,"Yuk lebih bijak bermedsos, terkait viralnya seorang bocah terlindas mobil MBG, faktanya adalah si anak berada di dekat ban saat mobil berjalan pelan, dan langsung dibawa ke RS untuk pemeriksaan pasca kejadian, tidak terjadi cedera.

#LanjutkanMBG 

Asep #PersibDay FH UI #zonaba"
MBG,top,"Kasihan banget ada anak yang tangan nya terluka karena wadah makanan MBG. Ternyata ada juga wadah MBG yg tajam yg melukai tangan anak anak . 
Kata bu guru di sekolah tersebut,  ini bukan yg pertama kalinya anak terluka , sebelum ini sudah pernah . 

Duh kasihan ya.. ompreng  yg"
MBG,top,"Keracunan  MBG di Indonesia 2026 :

08/01/26 di Semarang (75)
09/01/26 di Grobogan (803)
10/01/26 di Mojokerto (411)
12/01/26 di Majene (61)
12/01/26 di Wonogiri (206)
13/01/26 di Pekalongan (15)
13/01/26 di Siak, Riau (21)
17/01/26 di Lombok Tengah (38)
20/01/26 di Tulungagung"
MBG,live,"Ayo dukung gizi anak melalui ekonomi lokal, bersama kita kembangkan!
Hasil riset MBG"
MBG,live,Mau anak sehat dan ekonomi masyarakat tumbuh? Itu semua berkat program MBG yang didasari hasil riset MBG #DukungMBG
MBG,live,"Gizi anak terjamin, ekonomi warga ikut tergerak! Inilah hasil riset MBG yang sesungguhnya#HasilRisetMBG #MakanBergiziGratis #IndonesiaEmas2045"
MBG,live,"Beli8, dapat1 gratis! Program makan bergizi diuji riset, dukung kebijakan data.
Hasil riset MBG"
MBG,live,"Program makan bergizi gratis diuji riset dulu, dukung kebijakan data.
Hasil riset MBG"
MBG,live,"Ayolah semua harus kompak supaya duit MBG bisa dialokasikan ke program yang lebih bermanfaat!

Mendingan buat gaji guru honorer, memperbaiki sekolah yang rusak/tidak layak, memperbaiki jalan di pedalaman, dan atau untuk pendidikan gratis sampai Sarjana!!!"
MBG,live,"Ini situasi MBG sehari-hari. Sisa makanan menggunung tak tersentuh oleh siswa, dan harus dibuang percuma. Memprihatinkan."
MBG,live,"Lewat hasil riset MBG, program makan bergizi ini juga jadi peluang buat relawan dan petani bertumbuh #DukungMBG"
MBG,live,"Bagi makanan sehat? Yuk cek program riset kami!
Hasil riset MBG"
MBG,live,"""Total uang tunai yang berhasil kita selamatkan sampai hari ini adalah Rp 31,3 triliun. Ini angka yang sangat besar. Dengan kalau kita punya bayangan dengan uang ini kita bisa memperbaiki 34.000 sekolah-sekolah kita di seluruh Indonesia, saudara-saudara sekalian"" kata Presiden"
MBG,live,"Semua manfaat ini udah kebukti dari hasil riset MBG, anak sehat dan ekonomi keluarga makin kuat #DukungMBG"
MBG,live,mending gue beli nasi uduk jir yg jelas menyehatkan dari pada gue jadi korban dari keracunan makanan mbg
MBG,live,"Anak sehat, keluarga sejahtera. Itu janji Program Makan Bergizi Gratis yang didukung penuh oleh Hasil riset MBG.  #AnakIndonesia #Kesejahteraan"
MBG,live,"Masih ragu sama MBG? Lihat dulu Hasil riset MBG yang komprehensif ini. Fakta, bukan asumsi!  #MBGFakta #MakanGratis"
MBG,live,Data adalah kunci. Hasil riset MBG jadi landasan utama Program Makan Bergizi Gratis diperluas.  #KebijakanPublik #DataMBG
MBG,live,"Anak senang, ekonomi riang! Hasil riset MBG menunjukkan dampak nyata dari Program Makan Bergizi Gratis.  #IndonesiaMaju #MBG"
MBG,live,Mikir Program Makan Bergizi Gratis cuma buang-buang uang? Pikir lagi! Ada Hasil riset MBG di balik semua ini.  #KesehatanAnak #ProgramData
MBG,live,"Makan bergizi gratis teruji riset, yuk dukung kebijakan berbasis data!
Hasil riset MBG"
MBG,live,"Bagaimana pendapatmu tentang program makan bergizi gratis?
Hasil riset MBG"
MBG,live,Kebanyakan makan MBG kali
MBG,live,"Riset FISIP UI menunjukkan MBG bukan cuma soal makan bergizi, tapi juga menggerakkan ekonomi masyarakat #MBG"
MBG,live,"MBG bukan soal bagi-bagi makan. Program MBG diuji lewat riset sebelum diperluas. Gizi anak dijaga, ekonomi masyarakat ikut bergerak.
Hasil riset MBG"
MBG,live,Program Makan Bergizi Gratis diuji lewat riser sebelum diperluas #MBG
MBG,live,"Bagikan makannya, rasakan gizi, bergabunglah!
Hasil riset MBG"
MBG,live,"Berbagi makanan berkualitas, bukan sekadar bantu, prioritas gizi.
Hasil riset MBG"
MBG,live,"MBG kapan begini gaes. 

Kalo kaya gini mamanya mau ikut makannnn"
MBG,live,5olong alamat Bapak yg ngomong ini... Bole di kirimi MBG..Menu Bangkai Gratis
MBG,live,"Program Makan Bergizi Gratis tidak hanya mendukung kesehatan anak, tetapi juga memperkuat proses belajar di sekolah. Temuan dari berbagai Hasil riset MBG menjadi dasar penting untuk terus menyempurnakan pelaksanaan program ini di Indonesia."
MBG,live,kuat makan mbg
MBG,live,Dukungan terhadap program MBG perlu terus diperkuat karena pemenuhan gizi anak adalah investasi masa depan bangsa. Sejumlah Hasil riset MBG juga menegaskan bahwa akses makanan bergizi berpengaruh pada perkembangan fisik dan konsentrasi belajar anak.
MBG,live,Program Makan Bergizi Gratis menjadi langkah nyata untuk memastikan anak-anak Indonesia memperoleh asupan nutrisi yang cukup. Berbagai kajian dan Hasil riset MBG menunjukkan pentingnya pemenuhan gizi bagi kualitas kesehatan dan kemampuan belajar generasi muda.
MBG,live,Hasil riset MBG buktiin bahwa intervensi tepat bikin warga makin mandiri ekonomi dan anak tumbuh sehat #DukungMBG
MBG,live,"Gizi anak terjamin, ekonomi warga ikut tergerak! Inilah hasil riset MBG yang sesungguhnya. Program Makan Bergizi Gratis terbukti bukan sekadar bagi-bagi makan, tapi investasi jangka panjang untuk bangsa. #HasilRisetMBG #MakanBergiziGratis #IndonesiaEmas2045"
MBG,live,"Berkolaborasi itu asik bareng hasil riset MBG, gizi anak terjamin, rezeki warga dan UMKM lokal makin deras #DukungMBG"
MBG,live,Cuman di Indonesia loker ada maksimal persyaratan umur karena di pikiran pemerintah ini umur di atas 25 udah dapur MBG & lahan sawit sendiri.
MBG,live,"MBG  ala chef Lala

20% nasi daun jeruk
15% sambal
65% lauk

Dahlah met makan setelah sejam berkutat di dapur, diapproved sm bos gw klo nasi buatan gw weunak poll"
MBG,live,Ini bukan sekadar membagi makanan! Hasil riset MBG tegaskan program diuji lewat riset ilmiah demi kualitas gizi anak terjamin!  #HasilRisetMBG #MakanBergiziGratis
MBG,live,"Rakyat yg diadu domba, makanya dikasi MBG biar botol semua rakyat dan mudah diadu"
MBG,live,"Hasil riset MBG dari FISIP UI buktikan satu SPPG putar Rp10-12 M/tahun, 85% belanja ke petani lokal & buka 50 lapangan kerja!  #HasilRisetMBG #MakanBergiziGratis"
MBG,live,"MBG tuh lebih berguna buat mahasiswa anjir, gw mahasiswa perantau nih sering kekurangan makan woy"
MBG,live,MBG bukan sekadar bagi-bagi makan! Hasil riset MBG membuktikan program ini diuji ilmiah sebelum diperluas demi kebijakan berbasis data!  #HasilRisetMBG #MakanBergiziGratis
MBG,live,"Gak cuma anak-anak yang rasain manfaat, hasil riset MBG juga buat ekonomi masyarakat terus berputar #DukungMBG"
MBG,live,makan mbg juga?
MBG,live,"Program Makan Bergizi Gratis (MBG) bukan sekadar pemenuhan nutrisi, tapi juga penggerak ekonomi riil. 

#MakanBergiziGratis #EkonomiKerakyatan #IndonesiaSehat #KetahananPangan #PemerataanGizi"
MBG,live,gw paling benci orang yg ga bisa bersikap depan makanan. bahkan sekalipun tu makanan kaga enak ttp ga pantes (kecuali menu mbg)
MBG,live,wajar gak kalo aku illfeel?  Pdhl sender juga not a fan of sweet tp gk segitunya  kalau cobain makanan gaenak sender selalu habiskan dulu dan baru beropini... apalagi kalau nyobain punya orang
MBG,live,"Ini penyajian menu MBG apa bukan? Kalo iya gak higienis banget. Gak pakai sarung tangan, pake baju kaos lengan pendek gak kebayang tuh keringat netes ke makanannya

Kalo seperti ini mah sama aja kek beli nasi di warung"
MBG,live,"Program Makan Bergizi Gratis hadir sebagai investasi nyata untuk masa depan anak bangsa. Sehatkan generasi, bangun Indonesia yang lebih unggul!
#MBG #Sarapan #Investasi #Prabowo #BGN"
MBG,live,"Kenyataannya di lapangan alat makannya pada bosok, jancuk” MBG program taek"
MBG,live,"sirup.inaproc.id/sirup/rekap/pe
…
“Data resmi SiRUP LKPP: Pengadaan alat makan MBG untuk 15 SPPG di DIY = Rp 4,19 triliun.
Sementara guru honorer masih hidup pas-pasan dan sekolah di Indonesia Timur banyak yang reyot dari bambu & lantai tanah.
Prioritas negara kita ini yang mana?"
MBG,live,"Kasihan hanya perasaan orang berkemauan baik yang tidak mampu berbuat. Kasihan hanya satu kemewahan, atau satu kelemahan. Yang terpuji memang dia yang mampu melakukan kemauan baiknya. - Pramoedya Ananta Toer  #MerahPutih #MBG #MakanBergisiGratis #DariRakyat"
MBG,live,[...] soalnya memang kertas-kertas yang lebih bisa dipercaya. Lebih bisa dipercaya daripada mulut penulisnya sendiri. - Pramoedya Ananta Toer  #MerahPutih #MBG #MakanBergisiGratis #DariRakyat
MBG,live,"Banyak Pribumi yang mengimpi jadi Belanda, dan gadis yang lebih banyak bertampang Eropa ini lebih suka mengaku Pribumi. - Pramoedya Ananta Toer  #MerahPutih #MBG #MakanBergisiGratis #DariRakyat"
MBG,live,"Barang siapa tidak tahu bersetia pada azas, dia terbuka terhadap segala kejahatan: dijahati atau menjahati. - Pramoedya Ananta Toer  #MerahPutih #MBG #MakanBergisiGratis #DariRakyat"
MBG,live,"Seorang terpelajar harus juga belajar berlaku adil sudah sejak dalam pikiran, apalagi perbuatan. - Pramoedya Ananta Toer  #MerahPutih #MBG #MakanBergisiGratis #DariRakyat"
MBG,live,"Pengecut ! Pengecut ! ini diri belum berani
Dibiarkan juga genderang menyekarat
Di lereng-lereng lembah belum diolah
Dan matahari tambah condong
Memburu tiap diri cari selimut sembunyian. - Pramoedya Ananta Toer  #MerahPutih #MBG #MakanBergisiGratis #DariRakyat"
MBG,live,"Dukung gerakan yang berbasis hasil riset MBG, supaya anak sehat dan ekonomi masyarakat terus bergerak #DukungMBG"
MBG,live,"Terlepas menu makanannya, program mbg tetep jelek. Titik."
MBG,live,"All of this menu are better than Indonesia's MBG, even the old one"
MBG,live,Untung mereka sudah makan MBG jadi kuat nanjak daah... Terimakasih Pak Dadaaan...
MBG,live,"Undip sejak 2022 memberi makan bergizi gratis bagi mahasiswa kurang mampu lewat Food Truck. Program ini menyalurkan 1.850 porsi per hari dengan anggaran Rp 6 miliar per tahun.

Baca selengkapnya: 
kompas.com/edu/read/2026/
…

~RK #undip #MBG #mahasiswa"
MBG,live,"Hasil riset MBG bukan cuma buat anak sehat, tapi juga dorong penghasilan relawan dan petani meningkat #DukungMBG"
